CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0004;3;5;5;3;3;7;2;3;1;1;1;5;1;5;3;3;5;1;2;1;1;0;1;2;3;5;3;0;4;3;2;3;0;16.02;5.96;2.694376424;23.96;3.153333333;26.80833333;54.43;7.85020677948608;4.60560398496087;3.7575920937548;5.81020728187059;37.435143286584;14.0793744939563;26.8064816437392;37.6785216569809;1.90258277369036
BGM-0021;5;3;5;3;3;6;3;3;4;1;1;7;1;5;3;3;5;1;3;1;3;2;2;2;7;0;2;1;3;3;1;7;90;20.5;5.76;3.573006424;29.64;2.453333333;33.5;65.32166667;3.55924314183808;3.74162345822347;3.27099021200082;5.98975002223702;36.5431137774558;21.8778367284381;26.8992454161723;44.1350146417382;2.20802073043461
BGM-0032;7;1;5;3;3;7;1;3;3;1;1;5;0;7;3;3;5;1;1;1;1;0;2;2;7;0;3;0;4;3;2;3;0;16.58;4.56;3.635173661;27.4;1.983333333;24.16666667;67.36666667;7.27866053785324;4.38290327452157;3.32668770780925;6.54931539586696;35.3150538338324;17.802114342348;21.1316796182007;44.3334211197071;1.78742245304846
BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;7.27866053785324;4.69059957787702;2.42077776689691;7.59108212804462;34.315104922163;30.2515482680759;23.6639955632495;54.3269004048465;2.05948012219348
BGM-0058;9;9;7;3;3;7;2;7;1;4;2;5;0;4;7;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;3;5;90;21.74;3.44;6.327951681;30.64;1.96;32.55555555;66.14888889;7.32792395675993;4.50456747921733;3.00154086915451;5.86316285017247;33.546268116204;28.9793783699424;29.4021774488478;45.7715625996214;2.40066760568912
BGM-0115-TB;7;3;5;3;3;9;4;3;4;2;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;3;2;0;3;3;2;3;0;12.54;2.74;4.629893323;13.76;2.096666667;37;41.83666667;7.76339745519747;5.53963926015087;3.20157315461928;5.44602574195063;36.7959896799308;25.5604391583808;22.1916734856569;52.8313661007706;2.1350706025772
BGM-0137;5;3;5;3;3;9;3;5;4;1;1;7;1;5;7;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;3;0;16.14;3.5;4.612912797;28.2;2.85;24.45833333;61.1675;7.92154278878565;3.2482176053211;3.59880149813486;5.13252537363919;33.4713933019909;14.4299286945074;16.7847084872895;40.0553151104753;1.83582502360801
BGM-0143;7;5;3;5;3;6;2;5;4;1;1;5;1;2;3;3;5;1;1;1;1;0;2;3;7;5;2;0;3;3;1;5;0;16.64;6.06;2.747237019;29.62;1.976666667;23.33333333;56.15;6.89363505346206;3.76811362563213;3.30471310190585;4.11073153833406;36.410237053427;16.443824206605;27.9403191429063;32.1164953246675;1.90683810868596
BGM-0155;5;5;5;3;3;9;2;3;3;1;1;3;0;5;3;3;5;1;4;1;2;0;1;2;7;5;2;0;3;3;1;5;100;10.98;3.14;3.507023429;13.74;2.153333333;29.83333333;63.42666667;4.51315836526242;3.72432165949095;2.50077425275151;6.75979422936316;35.3037719843964;23.7779321490156;24.0535269467424;51.5722139414476;2.00374868450661
BGM-0162;3;2;3;3;3;6;2;3;4;1;1;5;1;5;3;3;3;1;1;1;2;2;2;3;7;0;3;0;3;3;2;5;90;11.08;2.66;4.163756614;13.96;3.135;24.75;64.62916667;7.98510760337044;4.24997352863428;3.07510943320613;6.10756994394946;36.0063896678455;20.5975617476898;26.4014842936825;42.4032242300322;2.12831634756718
