CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0010;9;3;5;5;2;9;4;5;4;2;1;5;0;5;3;3;5;1;3;1;2;2;2;2;7;5;2;1;3;7;1;7;90;9.22;2.78;3.352915231;10.24;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54196005663819;7.92436039509212;32.5118756371086;29.536840964584;27.8191965142788;53.7916181352206;2.13867628209059
BGM-0030;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;3;5;1;1;1;2;0;2;2;3;5;3;0;4;3;2;3;80;11.36;3.62;3.139351773;15.84;2.96;41.375;61.2875;7.28656959881236;3.91365497903401;3.78549701109572;6.148660356717;34.1400370596858;18.1106457201287;19.942066108893;46.4107229464015;1.76318405516143
BGM-0033;9;9;5;5;3;7;1;5;1;1;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;0;3;0;3;3;2;7;0;13.38;2.98;4.500287356;19.8;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.24510624943071;5.95185179332266;34.1059771156214;20.3040607054326;30.6228878746268;44.906008539845;2.06531006629809
BGM-0039;7;3;5;3;3;7;1;3;1;1;2;5;1;2;3;3;5;1;2;1;1;0;2;2;3;5;3;0;4;3;3;5;0;16.5;5.44;3.038020083;25.96;2.17;27.33333333;69.56;6.94311312151789;4.23537451287624;2.67246531484141;7.64028045158025;37.4769322709356;25.5000599126171;31.3444446643578;44.8186977541206;2.12824195913423
BGM-0082;3;7;3;3;3;9;2;5;4;1;1;5;1;5;3;3;3;1;1;1;2;2;2;3;7;5;3;0;3;3;2;5;90;17.08;3.88;4.439273766;24.42;3.396666667;35.33333333;75.68333333;3.66898609520843;4.19548192180354;2.71585341523979;7.97820538932882;35.0115185420511;28.634268581199;27.6979190417736;50.7674102855899;2.29047082715871
BGM-0085;7;7;5;3;3;9;3;5;4;3;1;5;1;5;3;3;5;1;2;1;3;2;2;3;7;3;2;1;3;3;2;5;100;14.8;5.06;2.923657648;18.24;1.783333333;23.16666667;45.77916667;3.4809302059644;3.01782940994455;4.00530545820877;3.12188416417588;35.6110697057562;8.48911762179893;17.9295208368649;29.6988148567953;1.79092193325953
BGM-0132;7;9;9;9;3;9;3;7;4;2;3;3;0;5;7;7;5;1;1;1;2;2;2;1;7;5;3;0;4;3;1;5;80;17.12;2.94;5.864316747;21.88;2.593333333;19.05833333;57.12166667;7.95981622166115;4.99171917611343;3.16787198080647;5.12134182694479;31.1075858557868;16.007715495862;18.0722683737705;47.2863106373169;2.06796978657497
BGM-0138;7;9;5;9;3;9;4;7;4;1;1;5;1;5;5;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;120;16.98;4.54;3.742594975;26.14;1.815416667;31.38541667;59.441875;7.92154278878565;4.28377837954244;3.4030962919388;6.17762421925913;35.1979403111752;19.652879529299;17.9773294384256;54.0350911866967;2.07627128068481
BGM-0150;5;3;3;3;3;9;4;3;4;2;1;5;1;5;3;3;3;1;2;1;2;2;1;3;7;3;3;0;3;3;2;5;115;12.76;4.3;2.974359577;20.36;2.153333333;30.85416667;56.38416667;7.33222450883483;3.95178555922934;3.28716127231796;5.68765932208267;34.9934549394629;19.3772093295734;23.0343528368955;46.2400611189342;1.96979246997353
BGM-0160;5;1;5;3;3;9;2;3;4;1;1;5;1;5;3;3;5;1;4;1;1;0;1;2;7;5;3;0;3;3;1;5;0;17.18;5.5;3.126181929;22.64;2.576666667;24.66666667;67.79666667;7.76339745519747;3.57006927607171;2.78927844149175;7.13703403475228;35.4133222144723;24.7970413316548;21.3793529272181;53.9239264131476;1.95969704924577
