Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
92;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;5.45366655356835;3.79212194654307;3.75196301992367;4.45825632254224;33.3252770591193;12.3951184010581;15.2575514210779;44.9950209475282;1.99070077993071
93;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;2;1;3;0;2;0;4;7;2;5;0;16.08;6.78;2.373022181;24.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.06392172880116;4.90936528784969;34.1641841481215;11.5522899857607;25.666043632158;30.8034581646069;2.18048952790009
96;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;7;5;2;1;4;3;1;5;90;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;7.66207400551982;3.75882661030452;3.97146083142108;5.38484102794059;36.2414537807038;16.6902592159335;19.5974928075586;42.3750401812781;2.0959028850155
97;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.81835150066494;4.40673141642714;3.60707377706915;5.94088657549791;35.310605263724;20.1918782180786;16.4854865158848;57.7304486986589;1.79717029583411
106;BGM-0029;3;3;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;2;1;1;7;5;2;0;4;3;2;3;90;17.02;6.06;2.81129848;26.68;4.116666667;23.75;71.69166667;6.02387265172664;3.34595096035922;3.97146083142108;6.27589809284955;34.2648426688946;18.6338428278075;29.0293320650532;38.2468279527359;1.93325086692329
111;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;7.85020677948608;4.87512003423072;3.77939893066585;6.25043782936294;34.9289683074742;24.6606594359454;25.7482070929888;46.7055447384426;1.80617877166847
117;BGM-0043;5;5;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;1;4;5;1;7;90;15.5;4.98;3.115268542;27.28;2.44;40.66666667;53.53;4.28434784825581;4.64417615127636;3.21730391270142;6.21253336602479;31.7158581151295;23.8288911584818;19.805060394423;50.3912395964113;1.98681200707438
118;BGM-0044;5;7;5;3;3;6;3;5;4;1;1;7;0;2;3;7;5;1;1;1;1;0;1;2;7;5;3;0;3;3;2;5;0;10.8;3.52;3.074278904;18.3;2.853333333;26.45833333;69.30416667;6.65159640883907;3.93276959245741;3.02291236141112;6.34714069066767;34.394964095737;24.5846097548875;23.6923390460884;47.376050118173;2.00075841283627
123;BGM-0049;7;3;5;3;3;7;1;3;1;2;3;5;1;2;3;3;5;1;2;1;1;0;2;3;3;5;3;0;4;3;2;7;0;14.52;5.04;2.883088235;23.32;2.656666667;36.66666667;66.16;6.94311312151789;4.38390777504655;2.84770087286945;8.18158028560064;37.3243785443933;30.6483893508418;35.4016169346381;43.5091227323537;2.24978703006871
131;BGM-0060;5;5;5;5;3;6;2;7;2;2;3;3;1;5;3;3;5;1;2;1;3;2;1;1;3;5;3;0;4;3;2;3;100;11.8;2.96;4.127664847;16.94;1.87;15.29166667;36.93083333;7.13290310834388;3.42475458280573;3.73026793695396;4.43970206681347;36.1124268758546;13.99854439838;15.857063841852;38.3337719913475;2.04938224532388
139;BGM-0070;5;7;3;3;3;6;2;5;4;1;2;5;0;5;7;7;5;1;1;1;2;2;2;2;7;5;2;1;3;3;1;3;90;14.6;4.3;3.396233766;21.56;3.763333333;32.79166667;56.97916667;4.0220006045009;3.40614652858614;3.48923742729522;5.0586824286166;36.1585000601207;12.4627259513049;22.8187086913414;36.280375919643;1.86686418058794
171;BGM-0117;5;7;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;1;2;2;7;5;2;0;3;3;1;5;100;13.24;3.9;3.400167735;21.92;2.43;23.66666667;50.94;3.85881650225653;2.65017903174768;4.03341757689227;4.73843983506691;35.8997778551991;12.3868266722151;17.5356681188055;39.5164446854262;1.9614507000133
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
189;BGM-0140;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;2;1;3;2;2;2;7;0;2;0;3;3;1;5;90;17.2;6.02;2.861694959;29.82;2.593333333;25.625;66.27333333;6.64368734787995;4.59244635391803;3.94085053015059;6.47579252391579;37.7531943192444;19.0364662875737;24.5051604560394;44.9738994199962;1.88118770346851
215;BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;6.02387265172664;5.5485795832654;3.22839821224424;6.53756859614903;37.0285906069798;26.9337893565849;21.6195856497658;55.4062812635483;2.03924488671637
232;BGM-0186;3;1;5;5;2;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;3;2;1;2;7;3;3;0;4;3;2;5;90;9.24;3.34;2.766417855;12.7;2.506666667;21.70833333;60.74666667;4.79875400779866;3.33820646833839;3.26267993229381;4.53471923809187;34.7789244267037;12.5977219584859;12.6943234804913;47.7079259833865;1.63593517307036
236;BGM-0190;9;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;2;1;2;2;2;2;7;5;3;1;3;5;2;3;90;16.66;4.66;3.574214707;22.66;1.75;33.44444444;63.17666666;6.95856397498787;4.41211562989746;3.92041733229333;5.4980812556722;35.2071169774818;18.6020426816455;25.982901135728;40.9941162888948;2.11082531763941
256;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;2;2;3;0;3;0;3;3;2;5;0;10.74;2.66;4.187824807;14.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54078606651365;5.41007002308741;33.6001851012856;17.2228431674287;24.1184572382013;41.8376680354329;2.13184153514083
261;BGM-0236;5;5;5;3;3;6;1;3;1;1;1;5;1;5;3;3;5;1;2;1;3;1;2;2;7;5;2;1;4;3;2;5;90;11.04;4.08;2.70087969;15.14;2.276666667;34.04166667;64.48166667;6.07018718984737;4.48126035105734;2.82246345985797;6.75674091080833;34.1391974326855;23.9476740251923;19.9870565012307;51.2910859955782;1.89966513435852
303;BGM-0294;5;1;5;3;2;3;4;3;4;1;1;3;0;5;3;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;2;5;90;14.34;3.44;4.189697232;19.44;1.65;20.29166667;49.03333333;3.52508755488252;3.352344626702;3.73150053557762;4.75075673132429;34.0031020315232;11.4033193861902;14.0219800761673;43.1436475087813;1.65069945880202
304;BGM-0295;5;1;5;9;2;8;3;3;4;1;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;0;3;1;4;3;2;7;0;12.12;2.9;4.199019969;16.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.47970860478025;4.71365410792537;33.7814876273518;13.4908309192187;20.9212393852813;33.6421861547522;1.78245518380456
337;BGM-0356;7;5;5;3;3;6;3;5;4;4;1;3;1;5;3;3;3;1;1;2;3;3;1;2;7;5;2;1;3;5;2;5;100;14.88;4.24;3.526722829;20.5;2.086666667;28;58.08666667;6.01663737159021;4.02205608190786;3.73837657688339;5.87835002007281;32.4582192353402;18.476952379647;15.0061865031648;53.9156502699273;1.83937031400929
353;BGM-0378;7;7;5;7;2;4;1;5;3;1;1;3;1;5;3;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;80;16.94;6.14;2.768098135;28.36;2.746666667;31.63333333;58.43;5.15411024999123;4.12520895881687;2.96622401133122;4.98260318685932;33.8490975198205;17.7092570211841;20.736708151535;45.9612916968184;1.98603722613664
356;BGM-0383;5;7;5;3;3;6;3;5;4;2;1;3;1;2;3;3;5;1;2;1;3;2;2;3;7;3;3;1;4;7;1;5;120;10.34;3.72;2.779532164;10.8;3.113333333;22.66666667;54.17333333;3.80965615424977;4.03559442651072;4.28275267937663;3.8213909165765;36.4953408925894;9.98632520720511;11.2529633750229;49.780373362636;1.64592692627692
380;BGM-0420;5;2;5;3;3;9;3;5;3;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;0;3;0;4;3;2;5;80;17.46;5.5;3.1748557;22.48;2.196666667;27.91583333;65.605;4.31931774808064;3.79954799664349;3.01821472281891;6.77469560251997;35.6174783946593;19.1405905487578;18.3648701943503;46.9634314367175;2.00640800465932
384;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;7.18905182952773;2.87359351164581;3.9062090166345;4.24670947241929;34.6978814533653;10.3521319727171;26.7949291892088;21.9885634358358;2.12163706544214
396;BGM-0440;5;5;5;5;3;5;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;7;2;5;0;15.82;2.1;7.544771018;24.68;2.173333333;29.12416667;67.64333333;7.40612906247542;3.36067249270488;3.87150526278123;4.94031424951851;33.8565632170719;15.4519500552114;12.9197409889955;53.2761523548913;1.72086226004739
407;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;6.18753892481935;3.83251134209655;2.96413675871281;3.93996974724592;32.3669405386851;8.91314782514265;23.2508354548349;28.3578112549659;2.17142770502008
408;BGM-0460;7;7;5;3;2;7;1;5;2;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;3;0;3;1;4;7;2;3;90;16.74;4.32;3.872907865;21.18;2.476666667;24.66666667;50.825;6.06805724892766;4.65760061131967;3.75074562120487;6.9182277375139;35.3814695612313;18.8072510315634;26.6579109689135;43.717984555464;2.01357439729792
409;BGM-0461;5;5;5;3;3;3;4;5;4;3;1;5;1;5;7;7;5;1;2;1;2;3;2;3;7;3;3;1;3;3;3;5;100;15.14;4.36;3.485716925;17.44;2.256666667;22.41666667;50.1475;3.15780861577895;3.15648979031203;3.90659592364337;3.86592514956516;34.2220618545977;9.57865395256695;18.6602136687769;27.028540197521;1.78220433035081
417;BGM-0470;5;2;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;2;1;4;2;2;2;7;5;3;0;4;3;1;5;100;11.32;3.32;3.420352399;18.64;3.64;18.875;57.14333333;7.9631187153582;2.97543486859111;3.77581825602403;5.05472551947121;38.2350083891272;13.7721146547569;19.7380896074882;36.4845983591795;1.94159501577947
421;BGM-0474;5;2;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;3;1;5;100;12.56;2.38;5.306841709;14.42;2.256666667;21.375;50.12916667;5.08485033386502;3.67502971988732;3.37127330481644;5.0127485113139;34.8790936447027;15.15958415935;20.4251475294863;39.323473429736;1.59811162824412
429;BGM-0492;7;1;5;3;2;6;2;3;2;1;1;5;1;2;3;3;5;1;2;1;3;3;2;4;3;3;3;0;4;3;3;5;90;16.44;4.04;4.063322259;23.32;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.97943792732713;8.61121741595105;37.0920564187998;28.6887112890409;32.2268701537836;44.0328656497679;2.0667173489944
442;BGM-0509;7;3;5;3;2;7;1;5;2;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;3;5;2;0;3;5;1;7;0;14.66;3.58;4.092277753;20.96;1.716666667;21.55555555;45.87111111;7.85020677948608;3.31672193256688;2.670026281615;3.38414640035066;32.030126858375;8.40092655564764;12.6667234198657;30.3587342353466;2.21713638510864
446;BGM-0514;3;3;5;3;3;9;2;3;4;1;1;5;1;9;7;3;5;1;1;1;2;0;2;2;7;5;3;0;3;3;1;5;90;16.16;2.96;5.687536321;19.68;3.053333333;27.58333333;61.30083333;3.41222377562242;4.57014245295419;2.02508083654681;4.89323257414762;32.6511052041633;22.0532233695789;23.6690514826768;46.8308075227324;2.2621953856449
474;BGM-0561;7;7;5;5;2;7;1;5;1;1;1;5;1;2;7;7;5;1;1;1;1;0;2;2;3;5;3;0;4;7;2;3;0;11.98;4.02;2.990115876;14.08;2.15;22.41666667;44.00916667;8.02220578372947;5.03278094021951;3.50403828739553;4.11599000221036;34.7812170724791;9.47915355911185;16.6737612572478;38.2855752375594;1.69560143830538
478;BGM-0565;3;3;5;3;3;9;3;3;4;2;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;3;2;1;3;3;2;5;90;12.72;3.52;3.636515351;14.3;6.393333333;13;66.34333333;6.18753892481935;3.30168555841767;3.37649403644386;4.87123977170531;33.2214222020389;13.3564330727024;16.7903673203482;40.2257750160653;1.99201466553829
