BAG,Pheno,CoreHunter,DARWin,NCSel
ComprFilotaxia,0.663551798194327,0.7920048292972,0.684977356455768,0.675133532133042,0.722910181771188
ComprLobulo,0.790460364849811,0.857068755610268,0.793636560958638,0.771439813824086,0.820509087702847
LargLobulo,0.817237217384814,0.88760296596017,0.813756129837667,0.796858253325808,0.845256185708271
RelComprLar,0.504260259918077,0.545193162059003,0.400611730668265,0.556976096510243,0.522579106352039
ComprPeciolo,0.701191729705613,0.812906542411497,0.709001682182235,0.688426274957541,0.752575065194302
EspEntreCasca,0.0179812425732917,0.0449275658116986,0.0216326684364444,0.0218666975125945,0.0371366445015923
ComprMedRzs,0.470860033661483,0.585921562142752,0.39461006090843,0.530765096826652,0.492559674021351
DiamMedRzs,0.600405947942263,0.703345650986807,0.610377242656309,0.561690297491353,0.639591909006303
HCNPic,0.871836793698058,0.879275871090092,0.908550225379381,0.868724367190852,0.882152408867282
NR,0.684085245712228,0.748920302430949,0.706356900725616,0.680758926164382,0.71254869839181
PA,0.812851801160739,0.830186243517435,0.839112840684075,0.781578441813058,0.820552928577902
DRY,0.717222271486174,0.767635903483158,0.702649098029085,0.62970639321629,0.717009391537693
DMCsg,0.70825858452519,0.770702904472145,0.70370136757793,0.698964284978289,0.735141184439868
PTR,0.764982922793076,0.815057026568533,0.755277266922248,0.704930557039071,0.765918370244085
PPA,0.782051788589567,0.819210394147569,0.726829867610898,0.78864977098937,0.792340116496717
IC,0.758589649365472,0.827321985187829,0.817095788509484,0.763836989125333,0.802198058052857
