BAG,Gen/Phen,Phen,Gen
ComprLobulo,0.795224318657491,0.767117103919687,0.699623726594408,0.769039244747055
LargLobulo,0.822043638838971,0.809309131236107,0.71750108687429,0.818530733480792
RelComprLar,0.496217637358746,0.528153838006757,0.410046463612345,0.500504497763148
ComprPeciolo,0.701567705013373,0.699333759461416,0.589567778635794,0.727270099287451
EspEntreCasca,0.0119523146929136,0.0224764374241078,0.0224764374241078,3.21274302234617e-48
ComprMedRzs,0.460165300854029,0.428448378009467,0.364501819459691,0.43247360126266
DiamMedRzs,0.586936802746649,0.534318693319202,0.545750636159076,0.55888700971436
HCNPic,0.86327953686968,0.848204377148049,0.842284908693133,0.861032422317841
NR,0.682747730155694,0.683250459410578,0.64825861950183,0.70053701734712
PA,0.832988432577846,0.857775861293737,0.777476667123278,0.829866875281326
DRY,0.73122255944605,0.69954061784924,0.7023198531434,0.693723189857024
DMCsg,0.715059461524848,0.707206109301761,0.663469063250418,0.698226657900782
PTR,0.774266908701505,0.75681951979308,0.715121155866865,0.767035226311369
PPA,0.787738172885764,0.771291428392043,0.733666645807997,0.759347367715014
IC,0.764918494048508,0.775350288507781,0.653700596917146,0.784139658514551
AP,0.714128123271543,0.751250616550612,0.643542045941321,0.734935539318364
